Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
6/18/2009,0.436792201,0.451030373,0.465541057,0.481252918,0.499139454,0.520347263,0.546237146,0.578076327,0.616569234,0.661738356,0.713130603,0.770081585,0.831770014,0.897344896,0.966060866,1.037256362,1.110328985,1.184719058,1.259900379,1.335398489,1.410808693,1.485783538,1.560020363,1.633251973,1.705240552,1.775785014,1.844728649,1.911952722,1.977369931,2.040919166,2.102561284,2.162275678,2.220057467,2.275915186,2.329868864,2.381948434,2.432192209,2.480643629,2.527348352,2.572353758,2.615708739,2.657463519,2.697669499,2.736379123,2.773645761,2.809523613,2.844067614,2.877333363,2.90937692,2.940253204,2.97001446,2.998710358,3.026388232,3.053093301,3.078868857,3.10375644,3.12779599,3.151025985,3.173483567,3.19520465
6/19/2009,0.428094529,0.43196916,0.440946246,0.454528159,0.471836221,0.492316046,0.516423538,0.545255955,0.579858372,0.620728161,0.667813486,0.720712901,0.778718203,0.840996564,0.906794635,0.975431123,1.046275592,1.118734341,1.192243484,1.266294757,1.340457542,1.414364746,1.487698994,1.560182268,1.631569098,1.701652639,1.770270285,1.837297,1.90263884,1.966227771,2.028017491,2.087980031,2.146102982,2.202387203,2.256844928,2.309498185,2.360377314,2.409518023,2.456958756,2.502740164,2.546904833,2.589497057,2.630562639,2.670148715,2.708303613,2.745076717,2.78051836,2.81467972,2.847612624,2.879368118,2.909995115,2.939540455,2.968049103,2.995564323,3.022127832,3.047779937,3.07255966,3.096504849,3.119652278,3.142037732
6/22/2009,0.431187327,0.434690899,0.440712911,0.450354413,0.463894668,0.481511302,0.503809979,0.531460255,0.564822934,0.603940245,0.648632316,0.69857278,0.753275005,0.812172682,0.874705961,0.94032485,1.00848632,1.078652365,1.150291315,1.222905054,1.296049474,1.369324788,1.442365893,1.514835149,1.586419021,1.656846091,1.725901064,1.793416656,1.859265314,1.923352599,1.985611842,2.045999805,2.104493133,2.161085426,2.215784821,2.268611971,2.319598152,2.368781488,2.416203579,2.46190883,2.505944102,2.548358426,2.589202746,2.628529705,2.666393453,2.702849486,2.737954501,2.771766272,2.804343421,2.835743618,2.866021587,2.895229145,2.923415477,2.950627376,2.976909463,3.002304381,3.02685297,3.050594417,3.073566402,3.095805221
6/23/2009,0.429388856,0.432943001,0.439734579,0.45053416,0.465065623,0.483410875,0.50623447,0.534372547,0.568470407,0.608785046,0.655170792,0.707241038,0.764400786,0.825969143,0.891296896,0.959764573,1.030773694,1.103740942,1.178097038,1.253314709,1.328929743,1.40452949,1.479741653,1.554225878,1.627669441,1.699803872,1.770417887,1.839349024,1.906475229,1.971708118,2.034987551,2.096277214,2.155561012,2.212840096,2.268130395,2.321460569,2.372870103,2.422405258,2.470115026,2.516050418,2.56026422,2.602810776,2.643745814,2.683126282,2.721010218,2.757456628,2.792525383,2.826277132,2.85877308,2.890073102,2.920233806,2.949308619,2.977348091,3.004400161,3.030510392,3.055722185,3.080076969,3.10361437,3.126372364,3.148387414
6/24/2009,0.427395878,0.430130833,0.435061822,0.444142582,0.457111807,0.473757699,0.494622011,0.520687798,0.552772596,0.591198701,0.635804441,0.686168929,0.741686371,0.801667715,0.865465169,0.932468104,1.002092125,1.073771782,1.146957955,1.221139755,1.295861065,1.370710431,1.44531135,1.51931499,1.592396902,1.66427611,1.734729963,1.80358572,1.870711951,1.936011649,1.999416677,2.06088326,2.120388292,2.177926296,2.233506906,2.287152769,2.338897593,2.388782182,2.436850703,2.483149965,2.527729093,2.570639258,2.611933435,2.6516662,2.689893549,2.726672749,2.762062197,2.796121307,2.828910243,2.86048794,2.890910225,2.92022991,2.948497087,2.975759371,3.002062129,3.027448683,3.051960484,3.075637278,3.098517247,3.120637143
6/25/2009,0.417395673,0.418465754,0.42218717,0.428460605,0.437642835,0.450495664,0.467985008,0.491152659,0.520736577,0.556962876,0.599639631,0.648330067,0.702416462,0.761206014,0.824032408,0.890254373,0.95924832,1.030403428,1.103120235,1.176839948,1.251077029,1.3254081,1.39945843,1.472891799,1.545404117,1.616734204,1.686674698,1.755064433,1.821780482,1.886731777,1.949853973,2.011105274,2.070463016,2.127920849,2.183486415,2.237179396,2.289029692,2.339073718,2.387351102,2.43390404,2.478776988,2.522016386,2.563670433,2.603788886,2.642422884,2.679624802,2.715448115,2.749947287,2.783177539,2.815193217,2.846046247,2.875786203,2.904460532,2.932114748,2.958792609,2.984536277,3.009386452,3.033382503,3.056562578,3.078963707
6/26/2009,0.416456341,0.421073315,0.427054506,0.435975006,0.448680463,0.465222861,0.485786406,0.510940586,0.541302353,0.577205588,0.618664786,0.665445274,0.717086556,0.77301799,0.832680746,0.895533248,0.961046103,1.028698713,1.097978579,1.168403158,1.239541969,1.311008274,1.382449569,1.453540447,1.523978836,1.59350072,1.661892982,1.728986224,1.794647233,1.858772949,1.921285601,1.982128758,2.041264092,2.09866872,2.154332994,2.208258664,2.260457241,2.310947559,2.359753633,2.406903891,2.452430639,2.496369594,2.538759495,2.579641753,2.619060156,2.657060613,2.693690926,2.729000593,2.763040505,2.795861257,2.827511541,2.858038176,2.887486277,2.915899418,2.94331977,2.969788225,2.995344513,3.020027295,3.04387426,3.066922203
6/29/2009,0.413836293,0.420848946,0.430294156,0.442404208,0.457517734,0.476379701,0.500177066,0.529949338,0.566213902,0.608994341,0.657977535,0.712645555,0.772268825,0.836045754,0.903250588,0.97322094,1.045339156,1.119019883,1.193704547,1.268887236,1.344134325,1.419070979,1.493368368,1.566734084,1.638906361,1.709664059,1.778834443,1.846285876,1.911920731,1.975669729,2.037487362,2.097348178,2.155243746,2.211180152,2.265175922,2.317260297,2.367471588,2.415853654,2.462452755,2.507317016,2.550496199,2.592041505,2.632005411,2.670441524,2.707404453,2.742949703,2.777133578,2.810013099,2.841645826,2.872088326,2.901394468,2.929615469,2.956800142,2.982995126,3.008245075,3.032592842,3.056079632,3.078745147,3.100627713,3.121764394
6/30/2009,0.414315545,0.419769608,0.426880985,0.437054299,0.451798405,0.472135553,0.498672234,0.531743734,0.571391767,0.61739235,0.669334254,0.726707668,0.788808619,0.854839362,0.924069692,0.995827885,1.069483498,1.144435904,1.22010979,1.29598926,1.371646571,1.446726385,1.520930027,1.594003685,1.665730336,1.735932248,1.804472921,1.87125053,1.936191949,1.999247966,2.060389427,2.119604103,2.176894122,2.232273861,2.285768196,2.337411042,2.387243981,2.435313094,2.481665763,2.526350209,2.569415385,2.610910891,2.650886897,2.68939408,2.726483568,2.762206888,2.796615928,2.829762894,2.86170019,2.892479177,2.9221489,2.950756161,2.978345733,3.004960544,3.030641847,3.055429372,3.079361454,3.102475158,3.124806384,3.146389965
7/1/2009,0.405503123,0.409578305,0.417193916,0.428500238,0.443908385,0.464373019,0.491034718,0.524806419,0.565941152,0.614023303,0.668331798,0.728064635,0.792396828,0.860529256,0.931751092,1.005418623,1.080935511,1.157739631,1.235295661,1.313114511,1.390776701,1.467921044,1.544231982,1.619430076,1.693266266,1.765531706,1.836065417,1.90474706,1.971489931,2.036235354,2.098948162,2.159613021,2.218231427,2.274819231,2.329404589,2.38202625,2.432731914,2.481574284,2.528607309,2.573885695,2.617464811,2.659400614,2.699749575,2.738568627,2.775915109,2.811846722,2.846421494,2.879697743,2.911733915,2.942587006,2.972311049,3.000957241,3.028574206,3.055208237,3.080903507,3.105702255,3.129644962,3.152770498,3.175116257,3.196718285
